age,amount,duration,checking,history,purpose,savings,employed,installp,marital,coapp,resident,property,other,housing,existcr,job,depends,telephon,foreign,good_bad
67,1169,6,1,4,3,5,5,4,3,1,4,1,3,2,2,3,1,2,1,good
22,5951,48,2,2,3,1,3,2,2,1,2,1,3,2,1,3,1,1,1,bad
49,2096,12,4,4,6,1,4,2,3,1,3,1,3,2,1,2,2,1,1,good
45,7882,42,1,2,2,1,4,2,3,3,4,2,3,3,1,3,2,1,1,good
53,4870,24,1,3,0,1,3,3,3,1,4,4,3,3,2,3,2,1,1,bad
35,9055,36,4,2,6,5,3,2,3,1,4,4,3,3,1,2,2,2,1,good
53,2835,24,4,2,2,3,5,3,3,1,4,2,3,2,1,3,1,1,1,good
35,6948,36,2,2,1,1,3,2,3,1,2,3,3,1,1,4,1,2,1,good
61,3059,12,4,2,3,4,4,2,1,1,4,1,3,2,1,2,1,1,1,good
28,5234,30,2,4,0,1,1,4,4,1,2,3,3,2,2,4,1,1,1,bad
25,1295,12,2,2,0,1,2,3,2,1,1,3,3,1,1,3,1,1,1,bad
24,4308,48,1,2,9,1,2,3,2,1,4,2,3,1,1,3,1,1,1,bad
22,1567,12,2,2,3,1,3,1,2,1,1,3,3,2,1,3,1,2,1,good
60,1199,24,1,4,0,1,5,4,3,1,4,3,3,2,2,2,1,1,1,bad
28,1403,15,1,2,0,1,3,2,2,1,4,3,3,1,1,3,1,1,1,good
32,1282,24,1,2,3,2,3,4,2,1,2,3,3,2,1,2,1,1,1,bad
53,2424,24,4,4,3,5,5,4,3,1,4,2,3,2,2,3,1,1,1,good
25,8072,30,1,0,9,5,2,2,3,1,3,3,1,2,3,3,1,1,1,good
44,12579,24,2,2,1,1,5,4,2,1,2,4,3,3,1,4,1,2,1,bad
31,3430,24,4,2,3,3,5,3,3,1,2,3,3,2,1,3,2,2,1,good
48,2134,9,4,4,0,1,3,4,3,1,4,3,3,2,3,3,1,2,1,good
44,2647,6,1,2,3,3,3,2,3,1,3,1,3,1,1,3,2,1,1,good
48,2241,10,1,4,0,1,2,1,3,1,3,1,3,1,2,2,2,1,2,good
44,1804,12,2,4,1,2,2,3,3,1,4,2,3,2,1,3,1,1,1,good
26,2069,10,4,4,2,5,3,2,4,1,1,3,3,2,2,3,1,1,2,good
36,1374,6,1,2,2,1,3,1,3,1,2,1,1,2,1,2,1,2,1,good
39,426,6,4,0,3,1,5,4,4,1,4,3,3,2,1,2,1,1,1,good
42,409,12,3,1,3,4,3,3,2,1,3,1,3,1,2,3,1,1,1,good
34,2415,7,2,2,3,1,3,3,3,3,2,1,3,2,1,3,1,1,1,good
63,6836,60,1,3,9,1,5,3,3,1,4,4,3,2,2,3,1,2,1,bad
